piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	extension	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
wa05op05no5a_Allegro_Assai	1: 4/4	1: 4	99	99	396	198	198	792		781	2246	1509	0	0	209	E	2.3.0	Adrian Nagel (2.1.1), Davor Krkljus (2.3.0)	DK, AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in E major, W.A 5								2020-04-30	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa05op05no5a_Allegro_Assai.mscx	False	35-88 (B1-E6)			47-88 (B2-E6)	Piano	35-76 (B1-E5)	Piano
wa05op05no5b_Adagio	1: 3/4	1: 3	55	55	165	110	110	330		372.42	820	526	0	0	130	A	2.3.0	Adrian Nagel (2.1.1), Davor Krkljus (2.3.0)	DK, AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in E major, W.A 5								2020-04-30	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa05op05no5b_Adagio.mscx	False	40-86 (E2-D6)			59-86 (B3-D6)	Piano	40-66 (E2-F#4)	Piano
wa05op05no5c_Prestissimo	1: 2/4	1: 4, 40: 1, 59: 4	104	102	205	208	204	410		427.5	1280	780	0	0	205	E	2.3.0	Adrian Nagel (2.1.1), Davor Krkljus (2.3.0)	DK, AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in E major, W.A 5								2020-04-30	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa05op05no5c_Prestissimo.mscx	False	38-88 (D2-E6)			59-88 (B3-E6)	Piano	38-75 (D2-D#5)	Piano
wa06op05no6a_Grave	1: 3/4	1: -3	62	62	184	62	62	184		568.25	1287	713	0	0	148	c	2.3.0	Adrian Nagel (2.1.1), Davor Krkljus (2.3.0)	DK, AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in C minor, W.A 6								2020-05-01	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa06op05no6a_Grave.mscx	False	36-84 (C2-C6)			55-84 (G3-C6)	Piano	36-70 (C2-Bb4)	Piano
wa06op05no6b_Allegro_Moderato	1: 4/4	1: -3	77	77	308	77	77	308		905	1446	803	0	0	281	c	2.3.0	Adrian Nagel (2.1.1), Hanné Becker (2.3.0)	AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in C minor, W.A 6								2020-05-01	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa06op05no6b_Allegro_Moderato.mscx	False	36-84 (C2-C6)			58-84 (Bb3-C6)	Piano	36-68 (C2-Ab4)	Piano
wa06op05no6c_Allegretto	1: 2/2	1: -3	49	46	186	95	90	362		514	786	380	0	0	155	c	2.3.0	Adrian Nagel (2.1.1), Hanné Becker (2.3.0)	AN	..	1765	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.5_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in C minor, W.A 6								2020-05-02	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa06op05no6c_Allegretto.mscx	False	36-86 (C2-D6)			55-86 (G3-D6)	Piano	36-65 (C2-F4)	Piano
wa07op17no1a_Minuetto_Con_Variatione	1: 3/4	1: 1	108	18	324	216	216	648		748	1386	1008	0	0	178	G	2.3.0	Amelia Brey	DK	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in G major, W.A 7								2020-05-02	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa07op17no1a_Minuetto_Con_Variatione.mscx	False	38-84 (D2-C6)			55-84 (G3-C6)	Piano	38-67 (D2-G4)	Piano
wa08op17no2a_Allegro	1: 2/4	1: -3	123	121	243	246	242	486		518.75	1325	929	0	0	186	c	2.3.0	Amelia Brey	DK	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in C minor, W.A 8								2020-05-02	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa08op17no2a_Allegro.mscx	False	36-84 (C2-C6)			51-84 (Eb3-C6)	Piano	36-73 (C2-Db5)	Piano
wa08op17no2b_Andante	1: 4/4	1: -3	71	71	283	71	71	283		707.25	1225	699	0	0	144	Eb	2.3.0	Amelia Brey	DK	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in C minor, W.A 8								2020-05-02	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa08op17no2b_Andante.mscx	False	39-87 (Eb2-Eb6)			55-87 (G3-Eb6)	Piano	39-72 (Eb2-C5)	Piano
wa08op17no2c_Prestissimo	1: 12/8	1: -3	103	101	607	206	202	1214		1182.5	1708	1156	0	0	216	c	2.3.0	Amelia Brey	DK	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in C minor, W.A 8								2020-05-03	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa08op17no2c_Prestissimo.mscx	False	33-87 (A1-Eb6)			50-87 (D3-Eb6)	Piano	33-75 (A1-Eb5)	Piano
wa09op17no3a_Allegro_Assai	1: 4/4	1: -3	114	114	456	228	228	912		1185	2202	1446	0	0	268	Eb	2.3.0	Davor Krkljus	AB	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in E-flat major, W.A 9								2020-05-03	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa09op17no3a_Allegro_Assai.mscx	False	34-87 (Bb1-Eb6)			46-87 (Bb2-Eb6)	Piano	34-75 (Bb1-Eb5)	Piano
wa09op17no3b_Allegro	1: 3/8	1: -3	111	111	166.5	222	222	333		394	1143	778	0	0	186	Eb	2.3.0	Davor Krkljus	AB	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in E-flat major, W.A 9								2020-05-04	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa09op17no3b_Allegro.mscx	False	38-89 (D2-F6)			55-89 (G3-F6)	Piano	38-77 (D2-F5)	Piano
wa10op17no4a_Allegro	1: 4/4	1: 1	100	98	393	200	196	786		769.5	1710	1200	0	0	226	G	2.3.0	Davor Krkljus	AN	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in G major, W.A 10								2020-05-04	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa10op17no4a_Allegro.mscx	False	34-86 (A#1-D6)			57-86 (A3-D6)	Piano	34-67 (A#1-G4)	Piano
wa10op17no4b_Presto_Assai	1: 3/8	1: 1	99	99	148.5	198	198	297		311.75	868	568	0	0	119	G	2.3.0	Davor Krkljus	AN	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in G major, W.A 10								2020-05-04	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa10op17no4b_Presto_Assai.mscx	False	38-86 (D2-D6)			59-86 (B3-D6)	Piano	38-67 (D2-G4)	Piano
wa11op17no5a_Allegro	1: 4/4	1: 3	103	102	409	206	204	818		797.42	1919	1447	0	0	213	A	2.3.0	Davor Krkljus	ST	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in A major, W.A 11								2020-05-05	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa11op17no5a_Allegro.mscx	False	38-88 (D2-E6)			50-88 (D3-E6)	Piano	38-76 (D2-E5)	Piano
wa11op17no5b_Presto	1: 3/8	1: 3	127	127	190.5	254	254	381		363.38	1350	1087	0	0	229	A	2.3.0	Davor Krkljus	ST	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in A major, W.A 11								2020-05-05	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa11op17no5b_Presto.mscx	False	33-85 (A1-C#6)			56-85 (G#3-C#6)	Piano	33-71 (A1-B4)	Piano
wa12op17no6a_Allegro	1: 4/4	1: -2	120	118	474	240	236	948		970	2310	1612	0	0	194	Bb	2.3.0	Amelia Brey	DK	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in B-flat major, W.A 12								2020-05-05	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa12op17no6a_Allegro.mscx	False	34-89 (Bb1-F6)			55-89 (G3-F6)	Piano	34-75 (Bb1-Eb5)	Piano
wa12op17no6b_Andante	1: 4/4	1: -3	74	74	296	148	148	592		835	1419	742	0	0	166	Eb	2.3.0	Amelia Brey	DK	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in B-flat major, W.A 12								2020-05-05	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa12op17no6b_Andante.mscx	False	34-89 (Bb1-F6)			51-89 (Eb3-F6)	Piano	34-68 (Bb1-Ab4)	Piano
wa12op17no6c_Prestissimo	1: 12/8	1: -2	107	105	631	214	210	1262		1203	1756	1252	0	0	232	Bb	2.3.0	Amelia Brey	DK	..	1780	https://imslp.org/wiki/6_Keyboard_Sonatas,_Op.17_(Bach,_Johann_Christian) (lists only publication date)	Bach, Johann Christian	Keyboard Sonata in B-flat major, W.A 12								2020-05-06	3.02	Microsoft Windows			3.6.2	2.4.0	MS3	MS3/wa12op17no6c_Prestissimo.mscx	False	29-89 (F1-F6)			38-89 (D2-F6)	Piano	29-72 (F1-C5)	Piano
